USD_RUB;EUR_RUB;GBP_RUB
27.9699993133545;36.6432073295356;52.9934613501777
28.0100002288818;36.4744658320828;52.9286221398419
28.0200004577637;35.9507796150571;52.3772050825508
28.0200004577637;35.908861614251;52.2710471307447
28.1499996185303;35.9924160815431;52.2530639509793
28.1800003051757;36.049637296173;52.3087366507295
28.0900001525878;36.165790951323;52.4711335128556
28.0699996948242;36.0894336210039;52.4878946713296
28.0300006866455;36.4383849142393;53.0068490228148
28.0100002288818;36.5617037819028;53.2349001973379
28;36.4514828133077;52.738680179398
28.0877990722656;36.6086165836986;53.058556101946
27.9400005340576;36.5147640651353;52.9327045306465
27.9200000762939;36.490869038805;52.9823618038971
27.8899993896484;37.0410701706963;53.3843606555453
27.7900009155273;36.8791924441301;53.2500236196391
27.75;36.5734621463607;52.9190308491106
27.75;36.7446445795;53.2498923271122
27.7399997711182;36.6029608117197;53.1499888641374
27.6900005340576;36.47808693706;53.1357104898372
27.7000007629394;36.3784222337658;52.9811904183648
27.7099990844727;36.2954591017051;52.8094405583438
27.75;36.6808413213061;53.2561424882861
27.7482500076294;36.6114893011352;53.0236300204703
27.7465000152587;36.9788347310717;53.4132417957714
27.6000003814697;36.8601416669244;52.9798124204913
27.6000003814697;36.8872310817599;52.8087726309807
27.4668006896973;36.983145323117;52.87998431671
27.4400005340576;36.7035084583508;52.5574107230336
27.4899997711182;36.5494936606709;52.5369258339994
27.4799995422363;36.8398451775666;52.9429912458343
27.4400005340576;36.7688380210107;52.9089614745518
27.4825000762939;36.6487285861749;52.8967253997098
27.5100002288818;36.2816185453111;52.2675979602045
27.5674991607666;36.0533553793764;51.9855173495898
27.6299991607666;35.9773952973875;51.7967033291163
27.6900005340576;35.7787601203506;51.6927579873979
27.6669998168945;35.8753115003479;51.8277285379495
27.6940002441406;35.8740918539596;51.920418634686
27.8199996948242;35.993376215444;52.1794595096634
27.8600006103516;35.932272079625;52.2331741244982
27.8449993133545;36.1377896416363;52.6587192956833
27.8691005706787;35.8929853598431;52.3862032186646
27.804500579834;35.8386549342628;52.3303809181779
27.8899993896484;35.8479162487999;52.4119255644588
27.9104995727539;35.8642780599599;52.3869440034101
27.8729991912841;35.720436131067;52.0016430587627
27.7980003356933;36.023801367185;52.5362668438531
27.8460006713867;36.016600992128;52.4876172112748
27.7670001983643;35.8767358173416;52.5361188995435
27.7789993286132;35.9063620151072;52.6774004345608
27.8080005645752;35.6613685169546;52.3841263213244
27.8715000152587;35.9275420296812;52.8496267098788
27.9099998474121;36.1746729001712;52.9169931330468
27.7882995605469;36.4319311330903;53.461530453092
27.7530002593994;36.2966554779429;53.206595096846
27.7350006103516;36.1453966771419;52.8873871363371
27.8850002288818;36.1869430607554;53.0250549424521
27.7040004730224;36.2335790389579;53.3051723593813
27.7437992095947;36.2086412576577;53.1406069366878
27.7488002777099;36.0303903050234;53.0789040445929
27.7220001220703;35.9857536045039;53.1994011965992
27.7999992370606;35.7643179238358;53.037998787248
27.8850002288818;35.8211815335082;52.8365135971326
27.7759990692139;35.9352065633881;52.805502591834
27.8250007629394;35.9797970506551;52.8476579896304
27.7835998535156;35.9854367648436;52.8423582031666
27.7749996185303;35.6300898623745;52.6056937140919
27.8145008087158;35.7554228020671;52.4247964618787
27.8145008087158;35.8443544491521;52.4554472260432
27.8145008087158;35.6911854878811;52.1833764566054
27.8533992767333;35.3625506442765;51.9663790378215
27.8861999511719;35.274905521021;51.7179970193523
27.9603004455566;35.3976521931529;51.5006312962693
28.0044994354248;35.2731062939518;51.3292723977581
27.9878005981445;35.5142160390776;51.5191286783656
27.9950008392333;35.3401968016883;51.3389971444017
28.0058002471924;35.1899247985127;51.253155603983
28.0242004394531;35.2428714425453;51.2841624889977
28.0058002471924;35.1967512687575;51.1618991170802
28.0058002471924;35.2846772657561;51.2954891256342
28.0200004577637;35.0462379140001;50.9817420665477
28.0729999542236;35.3237966599989;51.2308200214644
28.0750007629394;34.9596191940153;51.0709915651544
28.1149997711182;34.7528563320837;51.3241876581493
28.0058002471924;34.6153395408773;51.3691829748966
28.3824996948242;34.8025050460475;51.5133891033882
28.371000289917;34.6922962012265;51.4911995444816
28.3665008544922;34.8196539484718;51.8058430783201
28.4009990692139;34.8735232312169;52.0679780300229
28.4009990692139;34.6958235760801;51.7231334007102
28.3509998321533;34.7835647600912;51.7943923457295
28.4459991455078;34.5696826389323;51.6342449070792
28.4825000762939;34.5150386742411;51.4989057755084
28.4825000762939;34.3655694593264;51.6110393529563
28.5760002136231;34.6336131998286;52.0902842540015
28.5709991455078;34.5488861098718;52.044033991793
28.5550003051757;35.0178015931237;52.2316841222973
28.5294990539551;34.6635712339113;51.98935506555
28.5249996185303;34.7885371901497;52.2365420088471
28.5760002136231;34.637154639732;52.033945766335
28.5760002136231;34.4752929687832;52.035294959071
28.6599998474121;34.6487943131687;52.2418000341275
28.6399993896484;34.7415170628708;52.2263070330858
28.5634994506836;34.5657932408848;52.0270782643818
28.5855007171631;34.6367534766814;51.8149443946377
28.6674995422363;34.6135725530119;51.2514084321833
28.6275005340576;34.1698477417036;50.6394597616451
28.6275005340576;34.314040230909;50.7235230744525
28.8134994506836;34.4043414245605;50.693527682027
